min_slip_m,mean_slip_m,median_slip_m,max_slip_m,std_slip_m,p95_slip_m,p99_slip_m,sum_slip_m,max_to_mean,p99_to_mean,target_moment_Nm,realized_moment_Nm,moment_rel_error,mw,attempt_index,accepted,decision,rupture_length_km,rupture_width_km,top_depth_km,strike_deg,dip_deg,rake_deg,reference_mean_slip_m,n_along,n_down,corr_length_km,hurst_nu,sigma_ln,sample_index,file_name
4.900870214806971,16.587798773062442,14.005773366636085,45.35962790624636,8.275441205542657,31.152861921935862,42.72429942848831,1244.084907979683,2.7345176130245554,2.5756461127241264,3.981071705534985e+22,3.981071705534986e+22,2.107123061445265e-16,9.0,47,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,44,slip_Mw9.0_sample0044.npy
2.4960046101324065,16.58779877306244,14.084185426838978,46.96623375748093,8.930314939016455,32.47477405255934,41.324863718460406,1244.0849079796828,2.831372287548556,2.4912807470011895,3.981071705534985e+22,3.981071705534985e+22,0.0,9.0,48,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,45,slip_Mw9.0_sample0045.npy
4.645674500922473,16.587798773062442,13.735868935488307,51.053881029533514,8.396234548037567,29.204461079182977,46.522308148715744,1244.084907979683,3.0777972248157397,2.80461011043039,3.981071705534985e+22,3.981071705534986e+22,2.107123061445265e-16,9.0,49,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,46,slip_Mw9.0_sample0046.npy
4.513201759480877,16.58779877306243,15.087282063780671,42.88712834898023,8.703815770585681,34.68874537392356,40.98566973566997,1244.0849079796824,2.585462298869112,2.470832344688687,3.981071705534985e+22,3.9810717055349835e+22,4.21424612289053e-16,9.0,50,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,47,slip_Mw9.0_sample0047.npy
4.4886375934345875,16.587798773062435,13.914159024128775,61.95023912414633,10.31435049776777,34.98998101109778,49.78663071865024,1244.0849079796826,3.7346871620331994,3.001400692146125,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,52,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,48,slip_Mw9.0_sample0048.npy
4.02795348541182,16.587798773062442,14.595473268487646,42.98150506803618,9.035641415234796,34.313213764390156,42.69690354541119,1244.084907979683,2.5911518252702392,2.573994544396591,3.981071705534985e+22,3.981071705534986e+22,2.107123061445265e-16,9.0,53,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,49,slip_Mw9.0_sample0049.npy
4.924013148104279,16.587798773062435,14.656603326505046,50.058658209012904,8.023055607889175,31.653242777546797,39.331889343239254,1244.0849079796826,3.017799944035075,2.3711337400060475,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,54,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,50,slip_Mw9.0_sample0050.npy
5.091596166805788,16.587798773062442,14.138335334544696,47.85425581287288,8.608725561884217,33.62999534015174,45.68463265195724,1244.084907979683,2.8849069407922423,2.7541106132868123,3.981071705534985e+22,3.981071705534986e+22,2.107123061445265e-16,9.0,56,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,51,slip_Mw9.0_sample0051.npy
3.6096883057394074,16.587798773062435,15.255750080807848,59.003746825845134,9.376800254839315,31.746362069941025,43.40189712788474,1244.0849079796826,3.557057065441594,2.616495275935391,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,57,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,52,slip_Mw9.0_sample0052.npy
5.5471483493385225,16.58779877306243,13.847604121114177,57.3558641535644,9.870475333867041,34.0988950951072,49.118477034323455,1244.0849079796824,3.4577140064362735,2.96112086397436,3.981071705534985e+22,3.9810717055349835e+22,4.21424612289053e-16,9.0,58,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,53,slip_Mw9.0_sample0053.npy
3.8847785841127127,16.587798773062435,14.642153522862445,46.06929098451342,8.2136977114496,32.65659114335512,39.092299299526466,1244.0849079796826,2.7772998463983734,2.3566899884878008,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,60,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,54,slip_Mw9.0_sample0054.npy
3.2888089480323197,16.58779877306244,14.655668702208567,58.45854083101423,8.603014220089396,29.20989595074905,39.647788390036986,1244.0849079796828,3.524189172462551,2.3901778007111196,3.981071705534985e+22,3.981071705534985e+22,0.0,9.0,61,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,55,slip_Mw9.0_sample0055.npy
3.5825058415311535,16.587798773062435,15.741505881108699,45.54916302178224,8.072787026121038,29.29746710519019,42.40522527810745,1244.0849079796826,2.745943789464777,2.5564106400284365,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,62,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,56,slip_Mw9.0_sample0056.npy
4.28847703056085,16.58779877306244,13.667083901480982,59.5708624495341,11.156885897964889,36.51057961821085,52.93580275911281,1244.0849079796828,3.5912457864073866,3.1912493926003784,3.981071705534985e+22,3.981071705534985e+22,0.0,9.0,63,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,57,slip_Mw9.0_sample0057.npy
3.6739736715810785,16.58779877306244,13.294554143833645,58.088219114789936,11.025874371019023,39.83868592944572,47.20032509754739,1244.0849079796828,3.5018642261998996,2.8454845482088804,3.981071705534985e+22,3.981071705534985e+22,0.0,9.0,65,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,58,slip_Mw9.0_sample0058.npy
4.656038812810947,16.587798773062442,13.607002044143806,38.151916925295765,8.811867912188507,33.60280130453374,37.1705550684252,1244.084907979683,2.2999987790575394,2.2408371102733584,3.981071705534985e+22,3.981071705534986e+22,2.107123061445265e-16,9.0,67,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,59,slip_Mw9.0_sample0059.npy
4.285599993343965,16.587798773062435,14.47612920660923,57.355100067622445,9.373523676696566,34.5828165110762,46.052724593291344,1244.0849079796826,3.4576679433056303,2.7763011369584576,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,70,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,60,slip_Mw9.0_sample0060.npy
